Test started at: 26-02-2024 09:06:38 - Finished at 26-02-2024 09:10:51
Results for simulation time 100.0 s:
SimulationType(incarnation=collektive, testType=branching, cycle=0, nodes=200) Results(duration=76, steps=20001)
SimulationType(incarnation=collektive, testType=branching, cycle=1, nodes=200) Results(duration=49, steps=20001)
SimulationType(incarnation=collektive, testType=branching, cycle=2, nodes=200) Results(duration=48, steps=20001)
SimulationType(incarnation=collektive, testType=branching, cycle=3, nodes=200) Results(duration=48, steps=20001)
SimulationType(incarnation=collektive, testType=branching, cycle=4, nodes=200) Results(duration=48, steps=20001)
SimulationType(incarnation=collektive, testType=branching, cycle=5, nodes=200) Results(duration=48, steps=20001)
SimulationType(incarnation=collektive, testType=branching, cycle=6, nodes=200) Results(duration=43, steps=20001)
SimulationType(incarnation=collektive, testType=branching, cycle=7, nodes=200) Results(duration=49, steps=20001)
SimulationType(incarnation=collektive, testType=branching, cycle=8, nodes=200) Results(duration=47, steps=20001)
SimulationType(incarnation=collektive, testType=branching, cycle=9, nodes=200) Results(duration=48, steps=20001)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=0, nodes=843) Results(duration=862, steps=84301)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=1, nodes=843) Results(duration=816, steps=84301)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=2, nodes=843) Results(duration=847, steps=84301)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=3, nodes=843) Results(duration=923, steps=84301)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=4, nodes=843) Results(duration=806, steps=84301)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=5, nodes=843) Results(duration=926, steps=84301)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=6, nodes=843) Results(duration=805, steps=84301)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=7, nodes=843) Results(duration=921, steps=84301)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=8, nodes=843) Results(duration=797, steps=84301)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=9, nodes=843) Results(duration=820, steps=84301)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=0, nodes=200) Results(duration=40, steps=20001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=1, nodes=200) Results(duration=30, steps=20001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=2, nodes=200) Results(duration=24, steps=20001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=3, nodes=200) Results(duration=25, steps=20001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=4, nodes=200) Results(duration=25, steps=20001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=5, nodes=200) Results(duration=24, steps=20001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=6, nodes=200) Results(duration=24, steps=20001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=7, nodes=200) Results(duration=26, steps=20001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=8, nodes=200) Results(duration=24, steps=20001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=9, nodes=200) Results(duration=23, steps=20001)
SimulationType(incarnation=collektive, testType=gradient, cycle=0, nodes=200) Results(duration=273, steps=20001)
SimulationType(incarnation=collektive, testType=gradient, cycle=1, nodes=200) Results(duration=231, steps=20001)
SimulationType(incarnation=collektive, testType=gradient, cycle=2, nodes=200) Results(duration=233, steps=20001)
SimulationType(incarnation=collektive, testType=gradient, cycle=3, nodes=200) Results(duration=270, steps=20001)
SimulationType(incarnation=collektive, testType=gradient, cycle=4, nodes=200) Results(duration=245, steps=20001)
SimulationType(incarnation=collektive, testType=gradient, cycle=5, nodes=200) Results(duration=230, steps=20001)
SimulationType(incarnation=collektive, testType=gradient, cycle=6, nodes=200) Results(duration=232, steps=20001)
SimulationType(incarnation=collektive, testType=gradient, cycle=7, nodes=200) Results(duration=271, steps=20001)
SimulationType(incarnation=collektive, testType=gradient, cycle=8, nodes=200) Results(duration=230, steps=20001)
SimulationType(incarnation=collektive, testType=gradient, cycle=9, nodes=200) Results(duration=232, steps=20001)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=0, nodes=201) Results(duration=234, steps=40201)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=1, nodes=201) Results(duration=148, steps=40201)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=2, nodes=201) Results(duration=150, steps=40201)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=3, nodes=201) Results(duration=147, steps=40201)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=4, nodes=201) Results(duration=158, steps=40201)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=5, nodes=201) Results(duration=146, steps=40201)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=6, nodes=201) Results(duration=146, steps=40201)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=7, nodes=201) Results(duration=145, steps=40201)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=8, nodes=201) Results(duration=146, steps=40201)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=9, nodes=201) Results(duration=145, steps=40201)
SimulationType(incarnation=protelis, testType=branching, cycle=0, nodes=200) Results(duration=174, steps=40001)
SimulationType(incarnation=protelis, testType=branching, cycle=1, nodes=200) Results(duration=121, steps=40001)
SimulationType(incarnation=protelis, testType=branching, cycle=2, nodes=200) Results(duration=127, steps=40001)
SimulationType(incarnation=protelis, testType=branching, cycle=3, nodes=200) Results(duration=125, steps=40001)
SimulationType(incarnation=protelis, testType=branching, cycle=4, nodes=200) Results(duration=123, steps=40001)
SimulationType(incarnation=protelis, testType=branching, cycle=5, nodes=200) Results(duration=122, steps=40001)
SimulationType(incarnation=protelis, testType=branching, cycle=6, nodes=200) Results(duration=124, steps=40001)
SimulationType(incarnation=protelis, testType=branching, cycle=7, nodes=200) Results(duration=122, steps=40001)
SimulationType(incarnation=protelis, testType=branching, cycle=8, nodes=200) Results(duration=123, steps=40001)
SimulationType(incarnation=protelis, testType=branching, cycle=9, nodes=200) Results(duration=124, steps=40001)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=0, nodes=843) Results(duration=3643, steps=168601)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=1, nodes=843) Results(duration=3610, steps=168601)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=2, nodes=843) Results(duration=3550, steps=168601)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=3, nodes=843) Results(duration=3525, steps=168601)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=4, nodes=843) Results(duration=3508, steps=168601)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=5, nodes=843) Results(duration=4130, steps=168601)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=6, nodes=843) Results(duration=3545, steps=168601)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=7, nodes=843) Results(duration=3990, steps=168601)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=8, nodes=843) Results(duration=3526, steps=168601)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=9, nodes=843) Results(duration=3532, steps=168601)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=0, nodes=200) Results(duration=123, steps=40001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=1, nodes=200) Results(duration=73, steps=40001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=2, nodes=200) Results(duration=74, steps=40001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=3, nodes=200) Results(duration=74, steps=40001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=4, nodes=200) Results(duration=76, steps=40001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=5, nodes=200) Results(duration=75, steps=40001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=6, nodes=200) Results(duration=99, steps=40001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=7, nodes=200) Results(duration=74, steps=40001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=8, nodes=200) Results(duration=73, steps=40001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=9, nodes=200) Results(duration=72, steps=40001)
SimulationType(incarnation=protelis, testType=gradient, cycle=0, nodes=200) Results(duration=392, steps=40001)
SimulationType(incarnation=protelis, testType=gradient, cycle=1, nodes=200) Results(duration=343, steps=40001)
SimulationType(incarnation=protelis, testType=gradient, cycle=2, nodes=200) Results(duration=340, steps=40001)
SimulationType(incarnation=protelis, testType=gradient, cycle=3, nodes=200) Results(duration=406, steps=40001)
SimulationType(incarnation=protelis, testType=gradient, cycle=4, nodes=200) Results(duration=338, steps=40001)
SimulationType(incarnation=protelis, testType=gradient, cycle=5, nodes=200) Results(duration=342, steps=40001)
SimulationType(incarnation=protelis, testType=gradient, cycle=6, nodes=200) Results(duration=345, steps=40001)
SimulationType(incarnation=protelis, testType=gradient, cycle=7, nodes=200) Results(duration=338, steps=40001)
SimulationType(incarnation=protelis, testType=gradient, cycle=8, nodes=200) Results(duration=337, steps=40001)
SimulationType(incarnation=protelis, testType=gradient, cycle=9, nodes=200) Results(duration=350, steps=40001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=0, nodes=200) Results(duration=234, steps=40001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=1, nodes=200) Results(duration=159, steps=40001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=2, nodes=200) Results(duration=159, steps=40001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=3, nodes=200) Results(duration=157, steps=40001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=4, nodes=200) Results(duration=156, steps=40001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=5, nodes=200) Results(duration=154, steps=40001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=6, nodes=200) Results(duration=157, steps=40001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=7, nodes=200) Results(duration=159, steps=40001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=8, nodes=200) Results(duration=160, steps=40001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=9, nodes=200) Results(duration=156, steps=40001)
SimulationType(incarnation=scafi, testType=branching, cycle=0, nodes=200) Results(duration=559, steps=40001)
SimulationType(incarnation=scafi, testType=branching, cycle=1, nodes=200) Results(duration=457, steps=40001)
SimulationType(incarnation=scafi, testType=branching, cycle=2, nodes=200) Results(duration=468, steps=40001)
SimulationType(incarnation=scafi, testType=branching, cycle=3, nodes=200) Results(duration=452, steps=40001)
SimulationType(incarnation=scafi, testType=branching, cycle=4, nodes=200) Results(duration=449, steps=40001)
SimulationType(incarnation=scafi, testType=branching, cycle=5, nodes=200) Results(duration=452, steps=40001)
SimulationType(incarnation=scafi, testType=branching, cycle=6, nodes=200) Results(duration=455, steps=40001)
SimulationType(incarnation=scafi, testType=branching, cycle=7, nodes=200) Results(duration=450, steps=40001)
SimulationType(incarnation=scafi, testType=branching, cycle=8, nodes=200) Results(duration=454, steps=40001)
SimulationType(incarnation=scafi, testType=branching, cycle=9, nodes=200) Results(duration=453, steps=40001)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=0, nodes=843) Results(duration=1893, steps=168601)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=1, nodes=843) Results(duration=1838, steps=168601)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=2, nodes=843) Results(duration=1890, steps=168601)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=3, nodes=843) Results(duration=2120, steps=168601)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=4, nodes=843) Results(duration=1818, steps=168601)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=5, nodes=843) Results(duration=2147, steps=168601)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=6, nodes=843) Results(duration=1832, steps=168601)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=7, nodes=843) Results(duration=2125, steps=168601)
