Test started at: 27-02-2024 09:41:44 - Finished at 27-02-2024 09:57:33
Results for simulation time 300.0 s:
SimulationType(incarnation=collektive, testType=branching, cycle=0, nodes=200) Results(duration=923, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=1, nodes=200) Results(duration=170, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=2, nodes=200) Results(duration=314, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=3, nodes=200) Results(duration=164, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=4, nodes=200) Results(duration=186, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=5, nodes=200) Results(duration=330, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=6, nodes=200) Results(duration=170, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=7, nodes=200) Results(duration=151, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=8, nodes=200) Results(duration=171, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=9, nodes=200) Results(duration=176, steps=60001)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=0, nodes=843) Results(duration=5561, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=1, nodes=843) Results(duration=5781, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=2, nodes=843) Results(duration=10652, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=3, nodes=843) Results(duration=6137, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=4, nodes=843) Results(duration=9426, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=5, nodes=843) Results(duration=5540, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=6, nodes=843) Results(duration=12603, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=7, nodes=843) Results(duration=7501, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=8, nodes=843) Results(duration=5520, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=9, nodes=843) Results(duration=5482, steps=252901)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=0, nodes=200) Results(duration=190, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=1, nodes=200) Results(duration=99, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=2, nodes=200) Results(duration=92, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=3, nodes=200) Results(duration=94, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=4, nodes=200) Results(duration=82, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=5, nodes=200) Results(duration=73, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=6, nodes=200) Results(duration=92, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=7, nodes=200) Results(duration=73, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=8, nodes=200) Results(duration=93, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=9, nodes=200) Results(duration=104, steps=60001)
SimulationType(incarnation=collektive, testType=gradient, cycle=0, nodes=200) Results(duration=2033, steps=60001)
