Test started at: 27-02-2024 10:53:04 - Finished at 27-02-2024 11:33:50
Results for simulation time 300.0 s:
SimulationType(incarnation=collektive, testType=branching, cycle=0, nodes=200) Results(duration=1096, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=1, nodes=200) Results(duration=918, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=2, nodes=200) Results(duration=922, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=3, nodes=200) Results(duration=929, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=4, nodes=200) Results(duration=932, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=5, nodes=200) Results(duration=919, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=6, nodes=200) Results(duration=906, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=7, nodes=200) Results(duration=906, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=8, nodes=200) Results(duration=901, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=9, nodes=200) Results(duration=913, steps=60001)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=0, nodes=843) Results(duration=13580, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=1, nodes=843) Results(duration=13647, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=2, nodes=843) Results(duration=13731, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=3, nodes=843) Results(duration=13644, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=4, nodes=843) Results(duration=13775, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=5, nodes=843) Results(duration=13863, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=6, nodes=843) Results(duration=13746, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=7, nodes=843) Results(duration=13693, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=8, nodes=843) Results(duration=13759, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=9, nodes=843) Results(duration=14672, steps=252901)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=0, nodes=200) Results(duration=296, steps=60001)
