Test started at: 26-02-2024 09:10:51 - Finished at 26-02-2024 09:29:07
Results for simulation time 1000.0 s:
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=1, nodes=843) Results(duration=35451, steps=1686001)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=2, nodes=843) Results(duration=35371, steps=1686001)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=3, nodes=843) Results(duration=35492, steps=1686001)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=4, nodes=843) Results(duration=35277, steps=1686001)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=5, nodes=843) Results(duration=35218, steps=1686001)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=6, nodes=843) Results(duration=37361, steps=1686001)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=7, nodes=843) Results(duration=40811, steps=1686001)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=8, nodes=843) Results(duration=40660, steps=1686001)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=9, nodes=843) Results(duration=41234, steps=1686001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=0, nodes=200) Results(duration=573, steps=400001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=1, nodes=200) Results(duration=587, steps=400001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=2, nodes=200) Results(duration=585, steps=400001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=3, nodes=200) Results(duration=568, steps=400001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=4, nodes=200) Results(duration=596, steps=400001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=5, nodes=200) Results(duration=586, steps=400001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=6, nodes=200) Results(duration=603, steps=400001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=7, nodes=200) Results(duration=579, steps=400001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=8, nodes=200) Results(duration=703, steps=400001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=9, nodes=200) Results(duration=672, steps=400001)
SimulationType(incarnation=protelis, testType=gradient, cycle=0, nodes=200) Results(duration=3260, steps=400001)
SimulationType(incarnation=protelis, testType=gradient, cycle=1, nodes=200) Results(duration=3347, steps=400001)
SimulationType(incarnation=protelis, testType=gradient, cycle=2, nodes=200) Results(duration=3323, steps=400001)
SimulationType(incarnation=protelis, testType=gradient, cycle=3, nodes=200) Results(duration=3271, steps=400001)
SimulationType(incarnation=protelis, testType=gradient, cycle=4, nodes=200) Results(duration=3252, steps=400001)
SimulationType(incarnation=protelis, testType=gradient, cycle=5, nodes=200) Results(duration=3254, steps=400001)
SimulationType(incarnation=protelis, testType=gradient, cycle=6, nodes=200) Results(duration=3239, steps=400001)
SimulationType(incarnation=protelis, testType=gradient, cycle=7, nodes=200) Results(duration=3879, steps=400001)
SimulationType(incarnation=protelis, testType=gradient, cycle=8, nodes=200) Results(duration=3917, steps=400001)
SimulationType(incarnation=protelis, testType=gradient, cycle=9, nodes=200) Results(duration=3884, steps=400001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=0, nodes=200) Results(duration=1416, steps=400001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=1, nodes=200) Results(duration=1421, steps=400001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=2, nodes=200) Results(duration=1444, steps=400001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=3, nodes=200) Results(duration=1454, steps=400001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=4, nodes=200) Results(duration=1409, steps=400001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=5, nodes=200) Results(duration=1424, steps=400001)
