Test started at: 27-02-2024 10:10:51 - Finished at 27-02-2024 10:44:11
Results for simulation time 300.0 s:
SimulationType(incarnation=collektive, testType=branching, cycle=0, nodes=200) Results(duration=598, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=1, nodes=200) Results(duration=479, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=2, nodes=200) Results(duration=481, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=3, nodes=200) Results(duration=495, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=4, nodes=200) Results(duration=453, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=5, nodes=200) Results(duration=476, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=6, nodes=200) Results(duration=486, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=7, nodes=200) Results(duration=499, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=8, nodes=200) Results(duration=483, steps=60001)
SimulationType(incarnation=collektive, testType=branching, cycle=9, nodes=200) Results(duration=474, steps=60001)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=0, nodes=843) Results(duration=16840, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=1, nodes=843) Results(duration=8060, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=2, nodes=843) Results(duration=8091, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=3, nodes=843) Results(duration=20406, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=4, nodes=843) Results(duration=8247, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=5, nodes=843) Results(duration=8097, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=6, nodes=843) Results(duration=8777, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=7, nodes=843) Results(duration=8035, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=8, nodes=843) Results(duration=8117, steps=252901)
SimulationType(incarnation=collektive, testType=channelWithObstacles, cycle=9, nodes=843) Results(duration=8585, steps=252901)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=0, nodes=200) Results(duration=215, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=1, nodes=200) Results(duration=151, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=2, nodes=200) Results(duration=128, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=3, nodes=200) Results(duration=140, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=4, nodes=200) Results(duration=237, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=5, nodes=200) Results(duration=127, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=6, nodes=200) Results(duration=158, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=7, nodes=200) Results(duration=142, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=8, nodes=200) Results(duration=141, steps=60001)
SimulationType(incarnation=collektive, testType=fieldEvolution, cycle=9, nodes=200) Results(duration=126, steps=60001)
SimulationType(incarnation=collektive, testType=gradient, cycle=0, nodes=200) Results(duration=3322, steps=60001)
SimulationType(incarnation=collektive, testType=gradient, cycle=1, nodes=200) Results(duration=3265, steps=60001)
SimulationType(incarnation=collektive, testType=gradient, cycle=2, nodes=200) Results(duration=5590, steps=60001)
SimulationType(incarnation=collektive, testType=gradient, cycle=3, nodes=200) Results(duration=4263, steps=60001)
SimulationType(incarnation=collektive, testType=gradient, cycle=4, nodes=200) Results(duration=4132, steps=60001)
SimulationType(incarnation=collektive, testType=gradient, cycle=5, nodes=200) Results(duration=4933, steps=60001)
SimulationType(incarnation=collektive, testType=gradient, cycle=6, nodes=200) Results(duration=3239, steps=60001)
SimulationType(incarnation=collektive, testType=gradient, cycle=7, nodes=200) Results(duration=3248, steps=60001)
SimulationType(incarnation=collektive, testType=gradient, cycle=8, nodes=200) Results(duration=3248, steps=60001)
SimulationType(incarnation=collektive, testType=gradient, cycle=9, nodes=200) Results(duration=6522, steps=60001)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=0, nodes=201) Results(duration=2133, steps=120601)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=1, nodes=201) Results(duration=1877, steps=120601)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=2, nodes=201) Results(duration=1935, steps=120601)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=3, nodes=201) Results(duration=1884, steps=120601)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=4, nodes=201) Results(duration=5493, steps=120601)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=5, nodes=201) Results(duration=2018, steps=120601)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=6, nodes=201) Results(duration=1877, steps=120601)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=7, nodes=201) Results(duration=1871, steps=120601)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=8, nodes=201) Results(duration=1863, steps=120601)
SimulationType(incarnation=collektive, testType=neighborCounter, cycle=9, nodes=201) Results(duration=4082, steps=120601)
SimulationType(incarnation=protelis, testType=branching, cycle=0, nodes=200) Results(duration=1662, steps=120001)
SimulationType(incarnation=protelis, testType=branching, cycle=1, nodes=200) Results(duration=1389, steps=120001)
SimulationType(incarnation=protelis, testType=branching, cycle=2, nodes=200) Results(duration=1368, steps=120001)
SimulationType(incarnation=protelis, testType=branching, cycle=3, nodes=200) Results(duration=1353, steps=120001)
SimulationType(incarnation=protelis, testType=branching, cycle=4, nodes=200) Results(duration=3027, steps=120001)
SimulationType(incarnation=protelis, testType=branching, cycle=5, nodes=200) Results(duration=2646, steps=120001)
SimulationType(incarnation=protelis, testType=branching, cycle=6, nodes=200) Results(duration=1387, steps=120001)
SimulationType(incarnation=protelis, testType=branching, cycle=7, nodes=200) Results(duration=1375, steps=120001)
SimulationType(incarnation=protelis, testType=branching, cycle=8, nodes=200) Results(duration=1387, steps=120001)
SimulationType(incarnation=protelis, testType=branching, cycle=9, nodes=200) Results(duration=1338, steps=120001)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=0, nodes=843) Results(duration=55902, steps=505801)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=1, nodes=843) Results(duration=47362, steps=505801)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=2, nodes=843) Results(duration=46755, steps=505801)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=3, nodes=843) Results(duration=83281, steps=505801)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=4, nodes=843) Results(duration=46241, steps=505801)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=5, nodes=843) Results(duration=62675, steps=505801)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=6, nodes=843) Results(duration=55420, steps=505801)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=7, nodes=843) Results(duration=45190, steps=505801)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=8, nodes=843) Results(duration=52356, steps=505801)
SimulationType(incarnation=protelis, testType=channelWithObstacles, cycle=9, nodes=843) Results(duration=73299, steps=505801)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=0, nodes=200) Results(duration=947, steps=120001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=1, nodes=200) Results(duration=729, steps=120001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=2, nodes=200) Results(duration=729, steps=120001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=3, nodes=200) Results(duration=747, steps=120001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=4, nodes=200) Results(duration=2034, steps=120001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=5, nodes=200) Results(duration=743, steps=120001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=6, nodes=200) Results(duration=718, steps=120001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=7, nodes=200) Results(duration=760, steps=120001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=8, nodes=200) Results(duration=746, steps=120001)
SimulationType(incarnation=protelis, testType=fieldEvolution, cycle=9, nodes=200) Results(duration=731, steps=120001)
SimulationType(incarnation=protelis, testType=gradient, cycle=0, nodes=200) Results(duration=4254, steps=120001)
SimulationType(incarnation=protelis, testType=gradient, cycle=1, nodes=200) Results(duration=4026, steps=120001)
SimulationType(incarnation=protelis, testType=gradient, cycle=2, nodes=200) Results(duration=12493, steps=120001)
SimulationType(incarnation=protelis, testType=gradient, cycle=3, nodes=200) Results(duration=9415, steps=120001)
SimulationType(incarnation=protelis, testType=gradient, cycle=4, nodes=200) Results(duration=10992, steps=120001)
SimulationType(incarnation=protelis, testType=gradient, cycle=5, nodes=200) Results(duration=4015, steps=120001)
SimulationType(incarnation=protelis, testType=gradient, cycle=6, nodes=200) Results(duration=4062, steps=120001)
SimulationType(incarnation=protelis, testType=gradient, cycle=7, nodes=200) Results(duration=3974, steps=120001)
SimulationType(incarnation=protelis, testType=gradient, cycle=8, nodes=200) Results(duration=4036, steps=120001)
SimulationType(incarnation=protelis, testType=gradient, cycle=9, nodes=200) Results(duration=9262, steps=120001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=0, nodes=200) Results(duration=6650, steps=120001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=1, nodes=200) Results(duration=1852, steps=120001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=2, nodes=200) Results(duration=1873, steps=120001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=3, nodes=200) Results(duration=1887, steps=120001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=4, nodes=200) Results(duration=4685, steps=120001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=5, nodes=200) Results(duration=2420, steps=120001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=6, nodes=200) Results(duration=1854, steps=120001)
