scafi,fieldEvolution,1093.0,300.0
protelis,fieldEvolution,318.0,300.0
collektive,fieldEvolution,99.0,300.0
scafi,neighborCounter,1698.0,300.0
protelis,neighborCounter,672.0,300.0
collektive,neighborCounter,670.0,300.0
scafi,branching,2088.0,300.0
protelis,branching,690.0,300.0
collektive,branching,275.0,300.0
scafi,gradient,2360.0,300.0
protelis,gradient,1336.0,300.0
collektive,gradient,1001.0,300.0
scafi,channelWithObstacles,23852.0,300.0
protelis,channelWithObstacles,34308.0,300.0
collektive,channelWithObstacles,7420.0,300.0
